ID,Unit,Passed,Equality Limit,Upper Limit,Lower Limit,Value
P12VC_1,A,True, ,13.2,10.8,11.973124
FAN_P12VA_1,A,True, ,13.2,10.8,11.971651
ABSOLUTE_ENC_SPI_MISO_PLUS_1,A,,1, , ,
EXT_LTE_MODEM__USB_5V_1A_1,A,True, ,5.5,4.5,4.9531144
RLAY24_1_PLUS_1,A,, ,24.5,23.5,
ENCODER2_BCH_PLUS_1,A,,1, , ,
IFM_FRONT_P24VC_1,A,True, ,24.5,23.5,24.293465
STRT_PAUSE_P3V3B_1,A,True, ,3.5,3.1,3.3231081
ENCODER1_BCH_MINUS_1,A,,0, , ,
ABSOLUTE_ENC_SPI_MISO_MINUS_1,A,,0, , ,
STER_PWMA_1,A,, ,3.6,3.0,
RLAY12_1_PLUS_1,A,, ,13.2,10.8,
H_LIDAR_P12VD_1,A,True, ,13.2,10.8,11.973162
ENCODER2_ACH_PLUS_1,A,,1, , ,
P5VK_1,A,True, ,5.5,4.5,4.9994243
RLAY24_2_PLUS_1,A,, ,24.5,23.5,
SERVICE_1,A,,1, , ,
LEFT_CAM_P5VC_1,A,True, ,5.5,4.5,4.9942943
DUT_CURRENT_1,A,True, ,2.1,0.8,0.872
P5VG_1,A,True, ,5.5,4.5,4.99931
ENCODER2_ACH_MINUS_1,A,,0, , ,
TRACTION_ENCODER_P5VJ_1,A,True, ,5.5,4.5,4.9993862
SLANTED_LIDAR_P12VB_1,A,True, ,13.2,10.8,11.971879
P5VE_1,A,True, ,5.5,4.5,4.9956403
IMU_GYRO_1,A,,1, , ,
USB_VERIFY_1,A,, ,8.0,5.0,
C_ANH_1,A,, ,2.5,2.4,
STEERING_3V_P3V3A_1,A,True, ,3.5,3.1,3.3246954
P5VF_1,A,True, ,5.5,4.5,4.9817486
RLAY24_2_MINUS_1,A,, ,0.1,0.0,
USB_5V_1B_1,A,True, ,5.5,4.5,4.954308
KEY_SENSE_1,A,True,1, , ,1
ABSOLUTE_ENC_SPI_CLK_PLUS_1,A,, ,5.1,4.8,
P24VA_1,A,True, ,24.5,23.5,24.292951
STER_PWMB_1,A,, ,3.6,3.0,
ESTOP1_OUT_1,A,, ,0.1,0.0,
MASTER_POWER_OUT_1,A,, ,3.6,3.0,
IFM_LEFT_P24VD_1,A,True, ,24.5,23.5,24.292951
STER_ENA_1,A,, ,3.6,3.0,
LEFT_IFM_1,A,,1, , ,
STER_MTR_DIS_1,A,, ,3.6,3.0,
ABSOLUTE_ENC_SPI_CLK_MINUS_1,A,, ,5.1,4.8,
STEERING_P5VH_1,A,True, ,5.5,4.5,4.9993481
FRONT_IFM_1,A,,1, , ,
SWITCH_1,A,,1, , ,
C_ANL_1,A,, ,2.5,2.4,
RLAY24_1_MINUS_1,A,, ,0.1,0.0,
ENCODER1_ACH_PLUS_1,A,,1, , ,
_4_20MA_IN_1_1,A,, ,0.7,0.0,
ENCODER2_BCH_MINUS_1,A,,0, , ,
_4_20MA_IN_2_1,A,, ,0.7,0.0,
ENCODER1_ACH_MINUS_1,A,,0, , ,
RLAY12_2_MINUS_1,A,, ,0.1,0.0,
IFM_RIGHT_P24VB_1,A,True, ,24.5,23.5,24.293978
DUT_VOLTAGE_1,A,True, ,20.1,19.9,20.001
IMU_1,A,,1, , ,
RLAY12_2_PLUS_1,A,, ,13.2,10.8,
