ID,Unit,Passed,Equality Limit,Upper Limit,Lower Limit,Value
P12VC_1,A,True, ,13.2,10.8,11.973429
FAN_P12VA_1,A,True, ,13.2,10.8,11.972349
ABSOLUTE_ENC_SPI_MISO_PLUS_1,A,,1, , ,
EXT_LTE_MODEM__USB_5V_1A_1,A,True, ,5.5,4.5,4.9531906
RLAY24_1_PLUS_1,A,, ,24.5,23.5,
ENCODER2_BCH_PLUS_1,A,,1, , ,
IFM_FRONT_P24VC_1,A,True, ,24.5,23.5,24.295646
STRT_PAUSE_P3V3B_1,A,True, ,3.5,3.1,3.3224732
ENCODER1_BCH_MINUS_1,A,,0, , ,
ABSOLUTE_ENC_SPI_MISO_MINUS_1,A,,0, , ,
STER_PWMA_1,A,, ,3.6,3.0,
RLAY12_1_PLUS_1,A,, ,13.2,10.8,
H_LIDAR_P12VD_1,A,True, ,13.2,10.8,11.973594
ENCODER2_ACH_PLUS_1,A,,1, , ,
P5VK_1,A,True, ,5.5,4.5,4.9996275
RLAY24_2_PLUS_1,A,, ,24.5,23.5,
SERVICE_1,A,,1, , ,
LEFT_CAM_P5VC_1,A,True, ,5.5,4.5,4.9946244
DUT_CURRENT_1,A,True, ,2.1,0.8,0.8726
P5VG_1,A,True, ,5.5,4.5,4.9995132
ENCODER2_ACH_MINUS_1,A,,0, , ,
TRACTION_ENCODER_P5VJ_1,A,True, ,5.5,4.5,4.9996021
SLANTED_LIDAR_P12VB_1,A,True, ,13.2,10.8,11.972349
P5VE_1,A,True, ,5.5,4.5,4.9960085
IMU_GYRO_1,A,,1, , ,
USB_VERIFY_1,A,, ,8.0,5.0,
C_ANH_1,A,, ,2.5,2.4,
STEERING_3V_P3V3A_1,A,True, ,3.5,3.1,3.323997
P5VF_1,A,True, ,5.5,4.5,4.9819517
RLAY24_2_MINUS_1,A,, ,0.1,0.0,
USB_5V_1B_1,A,True, ,5.5,4.5,4.9544223
KEY_SENSE_1,A,True,1, , ,1
ABSOLUTE_ENC_SPI_CLK_PLUS_1,A,, ,5.1,4.8,
P24VA_1,A,True, ,24.5,23.5,24.295646
STER_PWMB_1,A,, ,3.6,3.0,
ESTOP1_OUT_1,A,, ,0.1,0.0,
MASTER_POWER_OUT_1,A,, ,3.6,3.0,
IFM_LEFT_P24VD_1,A,True, ,24.5,23.5,24.295646
STER_ENA_1,A,, ,3.6,3.0,
LEFT_IFM_1,A,,1, , ,
STER_MTR_DIS_1,A,, ,3.6,3.0,
ABSOLUTE_ENC_SPI_CLK_MINUS_1,A,, ,5.1,4.8,
STEERING_P5VH_1,A,True, ,5.5,4.5,4.9995259
FRONT_IFM_1,A,,1, , ,
SWITCH_1,A,True,1, , ,1
C_ANL_1,A,, ,2.5,2.4,
RLAY24_1_MINUS_1,A,, ,0.1,0.0,
ENCODER1_ACH_PLUS_1,A,,1, , ,
_4_20MA_IN_1_1,A,, ,0.7,0.0,
ENCODER2_BCH_MINUS_1,A,,0, , ,
_4_20MA_IN_2_1,A,, ,0.7,0.0,
ENCODER1_ACH_MINUS_1,A,,0, , ,
RLAY12_2_MINUS_1,A,, ,0.1,0.0,
IFM_RIGHT_P24VB_1,A,True, ,24.5,23.5,24.295646
DUT_VOLTAGE_1,A,True, ,20.1,19.9,20.002
IMU_1,A,,1, , ,
RLAY12_2_PLUS_1,A,, ,13.2,10.8,
ABSOLUTE_ENCODER_P5VI_1,A,True, ,5.5,4.5,4.9995386
STER_FLT_1,A,,1, , ,
BIOS_1,A,True,1, , ,1
STER_CUR_1,A,,0.0, , ,
P5VD_1,A,True, ,5.5,4.5,4.9960085
RIGHT_CAM_P5VB_1,A,True, ,5.5,4.5,4.9657744
RIGHT_IFM_1,A,,1, , ,
RLAY12_1_MINUS_1,A,, ,0.1,0.0,
ENCODER1_BCH_PLUS_1,A,,1, , ,
FRONT_CAM_P5VA_1,A,True, ,5.5,4.5,4.9810629
RIGHT_CAM_P5VB_2,A,True, ,5.5,4.5,4.9656474
P12VC_2,A,True, ,13.2,10.8,11.944236
FAN_P12VA_2,A,True, ,13.2,10.8,11.942839
EXT_LTE_MODEM__USB_5V_1A_2,A,True, ,5.5,4.5,4.9531398
P24VA_2,A,True, ,24.5,23.5,24.477738
KEY_SENSE_2,A,True,1, , ,1
RLAY24_1_PLUS_2,A,, ,24.5,23.5,
_4_20MA_IN_2_2,A,, ,3.2,2.4,
SL_LIDAR_2,A,,1, , ,
IFM_FRONT_P24VC_2,A,True, ,24.5,23.5,24.477995
P5VF_2,A,True, ,5.5,4.5,4.9819009
STRT_PAUSE_P3V3B_2,A,True, ,3.5,3.1,3.3226256
RLAY12_1_PLUS_2,A,, ,13.2,10.8,
H_LIDAR_P12VD_2,A,True, ,13.2,10.8,11.944198
RLAY24_2_PLUS_2,A,, ,24.5,23.5,
P5VK_2,A,True, ,5.5,4.5,4.9995259
SERVICE_2,A,,1, , ,
LEFT_CAM_P5VC_2,A,True, ,5.5,4.5,4.9945101
RLAY24_2_MINUS_2,A,, ,24.5,23.5,
DUT_CURRENT_2,A,True, ,2.1,0.8,0.8739
P5VG_2,A,True, ,5.5,4.5,4.9994116
C_ANL_2,A,, ,2.5,2.4,
TRACTION_ENCODER_P5VJ_2,A,True, ,5.5,4.5,4.9995513
