ID,Unit,Passed,Equality Limit,Upper Limit,Lower Limit,Value
P12VC_1,A,True, ,13.2,10.8,11.974305
FAN_P12VA_1,A,True, ,13.2,10.8,11.972857
ABSOLUTE_ENC_SPI_MISO_PLUS_1,A,,1, , ,
EXT_LTE_MODEM__USB_5V_1A_1,A,True, ,5.5,4.5,4.9531906
RLAY24_1_PLUS_1,A,, ,24.5,23.5,
ENCODER2_BCH_PLUS_1,A,,1, , ,
IFM_FRONT_P24VC_1,A,True, ,24.5,23.5,24.297828
STRT_PAUSE_P3V3B_1,A,True, ,3.5,3.1,3.3214193
ENCODER1_BCH_MINUS_1,A,,0, , ,
ABSOLUTE_ENC_SPI_MISO_MINUS_1,A,,0, , ,
STER_PWMA_1,A,, ,3.6,3.0,
RLAY12_1_PLUS_1,A,, ,13.2,10.8,
H_LIDAR_P12VD_1,A,True, ,13.2,10.8,11.974381
ENCODER2_ACH_PLUS_1,A,,1, , ,
P5VK_1,A,True, ,5.5,4.5,5.0000719
RLAY24_2_PLUS_1,A,, ,24.5,23.5,
SERVICE_1,A,,1, , ,
LEFT_CAM_P5VC_1,A,True, ,5.5,4.5,4.9949419
DUT_CURRENT_1,A,True, ,2.1,0.8,0.8756
P5VG_1,A,True, ,5.5,4.5,4.9998687
ENCODER2_ACH_MINUS_1,A,,0, , ,
TRACTION_ENCODER_P5VJ_1,A,True, ,5.5,4.5,4.9999957
SLANTED_LIDAR_P12VB_1,A,True, ,13.2,10.8,11.972997
P5VE_1,A,True, ,5.5,4.5,4.9962498
IMU_GYRO_1,A,,1, , ,
USB_VERIFY_1,A,, ,8.0,5.0,
C_ANH_1,A,, ,2.5,2.4,
STEERING_3V_P3V3A_1,A,True, ,3.5,3.1,3.3229684
P5VF_1,A,True, ,5.5,4.5,4.9824724
RLAY24_2_MINUS_1,A,, ,0.1,0.0,
USB_5V_1B_1,A,True, ,5.5,4.5,4.9544604
KEY_SENSE_1,A,True, ,1.4,0.7,0.8756
ABSOLUTE_ENC_SPI_CLK_PLUS_1,A,, ,5.1,4.8,
P24VA_1,A,True, ,24.5,23.5,24.297314
STER_PWMB_1,A,, ,3.6,3.0,
ESTOP1_OUT_1,A,, ,0.1,0.0,
MASTER_POWER_OUT_1,A,, ,3.6,3.0,
IFM_LEFT_P24VD_1,A,True, ,24.5,23.5,24.297186
STER_ENA_1,A,, ,3.6,3.0,
LEFT_IFM_1,A,,1, , ,
STER_MTR_DIS_1,A,, ,3.6,3.0,
ABSOLUTE_ENC_SPI_CLK_MINUS_1,A,, ,5.1,4.8,
STEERING_P5VH_1,A,True, ,5.5,4.5,4.9999322
FRONT_IFM_1,A,,1, , ,
SWITCH_1,A,,1, , ,
C_ANL_1,A,, ,2.5,2.4,
RLAY24_1_MINUS_1,A,, ,0.1,0.0,
ENCODER1_ACH_PLUS_1,A,,1, , ,
_4_20MA_IN_1_1,A,, ,0.7,0.0,
ENCODER2_BCH_MINUS_1,A,,0, , ,
_4_20MA_IN_2_1,A,, ,0.7,0.0,
ENCODER1_ACH_MINUS_1,A,,0, , ,
RLAY12_2_MINUS_1,A,, ,0.1,0.0,
IFM_RIGHT_P24VB_1,A,True, ,24.5,23.5,24.297956
DUT_VOLTAGE_1,A,True, ,20.1,19.9,20.002
IMU_1,A,,1, , ,
RLAY12_2_PLUS_1,A,, ,13.2,10.8,
ABSOLUTE_ENCODER_P5VI_1,A,True, ,5.5,4.5,4.9999322
STER_FLT_1,A,,1, , ,
BIOS_1,A,,1, , ,
STER_CUR_1,A,,0.0, , ,
P5VD_1,A,True, ,5.5,4.5,4.9963387
RIGHT_CAM_P5VB_1,A,True, ,5.5,4.5,4.9661807
RIGHT_IFM_1,A,,1, , ,
RLAY12_1_MINUS_1,A,, ,0.1,0.0,
ENCODER1_BCH_PLUS_1,A,,1, , ,
FRONT_CAM_P5VA_1,A,True, ,5.5,4.5,4.9814565
RIGHT_CAM_P5VB_2,A,True, ,5.5,4.5,4.9660664
P12VC_2,A,True, ,13.2,10.8,11.942877
FAN_P12VA_2,A,True, ,13.2,10.8,11.941506
EXT_LTE_MODEM__USB_5V_1A_2,A,True, ,5.5,4.5,4.9531271
P24VA_2,A,True, ,24.5,23.5,24.480048
KEY_SENSE_2,A,, ,1.4,0.7,
RLAY24_1_PLUS_2,A,, ,24.5,23.5,
_4_20MA_IN_2_2,A,, ,3.2,2.4,
SL_LIDAR_2,A,,1, , ,
IFM_FRONT_P24VC_2,A,True, ,24.5,23.5,24.480176
P5VF_2,A,True, ,5.5,4.5,4.9822438
STRT_PAUSE_P3V3B_2,A,True, ,3.5,3.1,3.321432
RLAY12_1_PLUS_2,A,, ,13.2,10.8,
H_LIDAR_P12VD_2,A,True, ,13.2,10.8,11.942864
RLAY24_2_PLUS_2,A,, ,24.5,23.5,
P5VK_2,A,True, ,5.5,4.5,4.9999068
SERVICE_2,A,,1, , ,
LEFT_CAM_P5VC_2,A,True, ,5.5,4.5,4.9948022
RLAY24_2_MINUS_2,A,, ,24.5,23.5,
DUT_CURRENT_2,A,True, ,2.1,0.8,0.8756
P5VG_2,A,True, ,5.5,4.5,4.9998053
C_ANL_2,A,, ,2.5,2.4,
TRACTION_ENCODER_P5VJ_2,A,True, ,5.5,4.5,4.9998687
SLANTED_LIDAR_P12VB_2,A,True, ,13.2,10.8,11.941493
P5VE_2,A,True, ,5.5,4.5,4.9961228
STEERING_3V_P3V3A_2,A,True, ,3.5,3.1,3.3229557
USB_5V_1B_2,A,True, ,5.5,4.5,4.9543588
ESTOP1_OUT_2,A,, ,0.1,0.0,
C_ANH_2,A,, ,2.5,2.4,
IFM_LEFT_P24VD_2,A,True, ,24.5,23.5,24.480176
LEFT_IFM_2,A,,1, , ,
PL_LIDAR_2,A,,1, , ,
STEERING_P5VH_2,A,True, ,5.5,4.5,4.9997164
FRONT_IFM_2,A,,1, , ,
SWITCH_2,A,,1, , ,
RLAY24_1_MINUS_2,A,, ,24.5,23.5,
_4_20MA_IN_1_2,A,, ,3.2,2.4,
RLAY12_2_MINUS_2,A,, ,13.2,10.8,
IFM_RIGHT_P24VB_2,A,True, ,24.5,23.5,24.47992
DUT_VOLTAGE_2,A,True, ,36.1,35.9,35.997
RLAY12_2_PLUS_2,A,, ,13.2,10.8,
ABSOLUTE_ENCODER_P5VI_2,A,True, ,5.5,4.5,4.9997672
STER_CUR_2,A,, ,3.5,3.1,
FRONT_CAM_P5VA_2,A,True, ,5.5,4.5,4.9812914
RLAY12_1_MINUS_2,A,, ,13.2,10.8,
RIGHT_IFM_2,A,,1, , ,
P5VD_2,A,True, ,5.5,4.5,4.996199
P12VC_3,A,True, ,13.2,10.8,11.967245
FAN_P12VA_3,A,True, ,13.2,10.8,11.965467
EXT_LTE_MODEM__USB_5V_1A_3,A,True, ,5.5,4.5,4.9532287
P24VA_3,A,True, ,24.5,23.5,24.299239
IFM_FRONT_P24VC_3,A,True, ,24.5,23.5,24.298341
STRT_PAUSE_P3V3B_3,A,True, ,3.5,3.1,3.321432
H_LIDAR_P12VD_3,A,True, ,13.2,10.8,11.961023
LEFT_CAM_P5VC_3,A,True, ,5.5,4.5,4.994726
DUT_CURRENT_3,A,True, ,1.6,0.8,1.2622
P5VG_3,A,True, ,5.5,4.5,4.9998053
TRACTION_ENCODER_P5VJ_3,A,True, ,5.5,4.5,4.9999195
SLANTED_LIDAR_P12VB_3,A,True, ,13.2,10.8,11.966267
P5VE_3,A,True, ,5.5,4.5,4.9961609
STEERING_3V_P3V3A_3,A,True, ,3.5,3.1,3.322943
USB_5V_1B_3,A,True, ,5.5,4.5,4.9544096
ESTOP1_OUT_3,A,, ,24.5,20.5,
IFM_LEFT_P24VD_3,A,True, ,24.5,23.5,24.300138
P5VF_3,A,True, ,5.5,4.5,4.9822946
STEERING_P5VH_3,A,True, ,5.5,4.5,4.9998306
P5VD_3,A,True, ,5.5,4.5,4.9961482
P5VK_3,A,True, ,5.5,4.5,5.0000211
IFM_RIGHT_P24VB_3,A,True, ,24.5,23.5,24.299368
DUT_VOLTAGE_3,A,True, ,24.1,23.9,23.996
ABSOLUTE_ENCODER_P5VI_3,A,True, ,5.5,4.5,4.9998941
FRONT_CAM_P5VA_3,A,True, ,5.5,4.5,4.9812152
RIGHT_CAM_P5VB_3,A,True, ,5.5,4.5,4.9660537
ESTOP1_OUT_4,A,, ,0.1,0.0,
